iter	Passed	Remaining
636	2989	1703
637	2993	1698
638	2996	1693
639	3004	1689
640	3008	1684
641	3012	1679
642	3021	1677
643	3025	1672
644	3029	1667
645	3037	1664
646	3040	1658
647	3043	1653
648	3047	1648
649	3052	1643
650	3056	1638
651	3059	1632
652	3065	1628
653	3068	1623
654	3072	1618
655	3075	1612
656	3080	1608
657	3083	1602
658	3087	1597
659	3090	1592
660	3095	1587
661	3098	1582
662	3101	1576
663	3104	1571
664	3108	1565
665	3112	1560
666	3115	1555
667	3118	1549
668	3121	1544
669	3125	1539
670	3128	1534
671	3131	1528
672	3135	1523
673	3138	1517
674	3143	1513
675	3146	1507
676	3151	1503
677	3155	1498
678	3160	1494
679	3164	1489
680	3167	1483
681	3171	1478
682	3176	1474
683	3179	1468
684	3182	1463
685	3186	1458
686	3190	1453
687	3193	1448
688	3196	1442
689	3200	1437
690	3203	1432
691	3207	1427
692	3210	1422
693	3213	1416
694	3216	1411
695	3220	1406
696	3223	1401
697	3227	1396
698	3230	1391
699	3233	1385
700	3237	1381
701	3241	1376
702	3244	1370
703	3248	1365
704	3255	1362
705	3259	1357
706	3262	1352
707	3270	1348
708	3274	1343
709	3279	1339
710	3288	1336
711	3292	1331
712	3296	1326
713	3305	1323
714	3308	1318
715	3312	1313
716	3320	1310
717	3323	1305
718	3327	1300
719	3336	1297
720	3339	1292
721	3343	1287
722	3350	1283
723	3353	1278
724	3356	1273
725	3359	1267
726	3367	1264
727	3370	1259
728	3373	1254
729	3377	1249
730	3383	1244
731	3386	1240
732	3390	1234
733	3395	1230
734	3398	1225
735	3401	1220
736	3404	1214
737	3407	1209
738	3413	1205
739	3416	1200
740	3420	1195
741	3423	1190
742	3427	1185
743	3430	1180
744	3434	1175
745	3437	1170
746	3440	1165
747	3444	1160
748	3447	1155
749	3450	1150
750	3453	1145
751	3457	1140
752	3461	1135
753	3464	1130
754	3467	1125
755	3470	1120
756	3475	1115
757	3479	1110
758	3482	1105
759	3485	1100
760	3490	1096
761	3493	1091
762	3496	1086
763	3499	1081
764	3502	1075
765	3506	1071
766	3510	1066
767	3513	1061
768	3516	1056
769	3521	1051
770	3525	1047
771	3529	1042
772	3533	1037
773	3557	1038
774	3562	1034
775	3568	1030
776	3575	1026
777	3580	1021
778	3588	1018
779	3595	1014
780	3599	1009
781	3607	1005
782	3611	1000
783	3617	996
784	3623	992
785	3626	987
786	3630	982
787	3635	977
788	3638	972
789	3641	968
790	3644	962
791	3649	958
792	3653	953
793	3656	948
794	3659	943
795	3663	938
796	3666	933
797	3670	929
798	3673	924
799	3676	919
800	3681	914
801	3684	909
802	3687	904
803	3690	899
804	3695	895
805	3699	890
806	3703	885
807	3706	880
808	3709	875
809	3713	871
810	3716	866
811	3720	861
812	3723	856
813	3728	851
814	3731	847
815	3734	842
816	3737	837
817	3740	832
818	3760	830
819	3763	826
820	3766	821
821	3770	816
822	3775	812
823	3779	807
824	3782	802
825	3786	797
826	3792	793
827	3797	788
828	3800	783
829	3804	779
830	3810	774
